Depth;50;100;200;500;1000;2000
b;0,776;0,752;0,799;0,805;0,842;0,871
b4;0,71533352;0,74471366;0,80930787;0,85880697;0,89018202;0,89498007
b43;0,75901574;0,7971015;0,86789018;0,89633101;0,92436868;0,93592501
b432;0,74746501;0,81655043;0,88018477;0,91439217;0,94393128;0,94584548
b4321;0,72535312;0,74067384;0,81948155;0,86117077;0,89486921;0,94106615
